"Open","High","Low","Close","Volume","Adjusted","dates","ticker"
144.289993,144.520004,143.449997,143.660004,21149000,140.387177,"2017-04-06","AAPL"
143.729996,144.179993,143.270004,143.339996,16672200,140.074463,"2017-04-07","AAPL"
143.600006,143.880005,142.899994,143.169998,18933400,139.908325,"2017-04-10","AAPL"
142.940002,143.350006,140.059998,141.630005,30379400,138.403427,"2017-04-11","AAPL"
141.600006,142.149994,141.009995,141.800003,20350000,138.56955,"2017-04-12","AAPL"
141.910004,142.380005,141.050003,141.050003,17822900,137.836624,"2017-04-13","AAPL"
141.479996,141.880005,140.869995,141.830002,16582100,138.598862,"2017-04-17","AAPL"
141.410004,142.039993,141.110001,141.199997,14697500,137.9832,"2017-04-18","AAPL"
141.880005,142,140.449997,140.679993,17328400,137.475052,"2017-04-19","AAPL"
141.220001,142.919998,141.160004,142.440002,23319600,139.194962,"2017-04-20","AAPL"
142.440002,142.679993,141.850006,142.270004,17320900,139.028854,"2017-04-21","AAPL"
143.5,143.949997,143.179993,143.639999,17134300,140.36763,"2017-04-24","AAPL"
143.910004,144.899994,143.869995,144.529999,18871500,141.23735,"2017-04-25","AAPL"
144.470001,144.600006,143.380005,143.679993,20041200,140.406723,"2017-04-26","AAPL"
143.919998,144.160004,143.309998,143.789993,14246300,140.514191,"2017-04-27","AAPL"
144.089996,144.300003,143.270004,143.649994,20860400,140.37738,"2017-04-28","AAPL"
145.100006,147.199997,144.960007,146.580002,33602900,143.240646,"2017-05-01","AAPL"
147.539993,148.089996,146.839996,147.509995,45352200,144.149475,"2017-05-02","AAPL"
145.589996,147.490005,144.270004,147.059998,45697000,143.709702,"2017-05-03","AAPL"
146.520004,147.139999,145.809998,146.529999,23371900,143.191772,"2017-05-04","AAPL"
146.759995,148.979996,146.759995,148.960007,27327700,145.566422,"2017-05-05","AAPL"
149.029999,153.699997,149.029999,153.009995,48752400,149.524139,"2017-05-08","AAPL"
153.869995,154.880005,153.449997,153.990005,39130400,150.481842,"2017-05-09","AAPL"
153.630005,153.940002,152.110001,153.259995,25805700,149.768448,"2017-05-10","AAPL"
152.449997,154.070007,152.309998,153.949997,27255100,151.063705,"2017-05-11","AAPL"
154.699997,156.419998,154.669998,156.100006,32527000,153.173401,"2017-05-12","AAPL"
156.009995,156.649994,155.050003,155.699997,26009700,152.780899,"2017-05-15","AAPL"
155.940002,156.059998,154.720001,155.470001,20048500,152.555237,"2017-05-16","AAPL"
153.600006,154.570007,149.710007,150.25,50767700,147.433075,"2017-05-17","AAPL"
151.270004,153.339996,151.130005,152.539993,33568200,149.680145,"2017-05-18","AAPL"
153.380005,153.979996,152.630005,153.059998,26960800,150.190384,"2017-05-19","AAPL"
154,154.580002,152.910004,153.990005,22966400,151.102982,"2017-05-22","AAPL"
154.899994,154.899994,153.309998,153.800003,19918900,150.916519,"2017-05-23","AAPL"
153.839996,154.169998,152.669998,153.339996,19178000,150.465149,"2017-05-24","AAPL"
153.729996,154.350006,153.029999,153.869995,19235600,150.985199,"2017-05-25","AAPL"
154,154.240005,153.309998,153.610001,21701100,150.730072,"2017-05-26","AAPL"
153.419998,154.429993,153.330002,153.669998,20126900,150.788956,"2017-05-30","AAPL"
153.970001,154.169998,152.380005,152.759995,24451200,149.896011,"2017-05-31","AAPL"
153.169998,153.330002,152.220001,153.179993,16404100,150.308136,"2017-06-01","AAPL"
153.580002,155.449997,152.889999,155.449997,27770700,152.535599,"2017-06-02","AAPL"
154.339996,154.449997,153.460007,153.929993,25331700,151.044067,"2017-06-05","AAPL"
153.899994,155.809998,153.779999,154.449997,26624900,151.554321,"2017-06-06","AAPL"
155.020004,155.979996,154.479996,155.369995,21069600,152.457092,"2017-06-07","AAPL"
155.25,155.539993,154.399994,154.990005,21250800,152.084213,"2017-06-08","AAPL"
155.190002,155.190002,146.020004,148.979996,64882700,146.186874,"2017-06-09","AAPL"
145.740005,146.089996,142.509995,145.419998,72307300,142.693649,"2017-06-12","AAPL"
147.160004,147.449997,145.149994,146.589996,34165400,143.84169,"2017-06-13","AAPL"
147.5,147.5,143.839996,145.160004,31531200,142.438507,"2017-06-14","AAPL"
143.320007,144.479996,142.210007,144.289993,32165400,141.584808,"2017-06-15","AAPL"
143.779999,144.5,142.199997,142.270004,50361100,139.602707,"2017-06-16","AAPL"
143.660004,146.740005,143.660004,146.339996,32541400,143.596375,"2017-06-19","AAPL"
146.869995,146.869995,144.940002,145.009995,24900100,142.291321,"2017-06-20","AAPL"
