"comp_id","Sector","Industry"
"comp_6742","Industrials","Industrial Distribution"
"comp_12587","Consumer Cyclical","Packaging & Containers"
"comp_10265","Industrials","Business Services"
"comp_1519","Basic Materials","Industrial Metals & Minerals"
"comp_1954","Financial Services","Asset Management"
"comp_8568","Consumer Cyclical","Residential Construction"
"comp_10509","Technology","Software - Application"
"comp_8267","Consumer Cyclical","Specialty Retail"
"comp_11120","Technology","Communication Equipment"
"comp_536","Basic Materials","Industrial Metals & Minerals"
"comp_12588","Basic Materials","Paper & Paper Products"
"comp_11755","Healthcare","Medical Instruments & Supplies"
"comp_9561","Financial Services","Savings & Cooperative Banks"
"comp_8462","Industrials","Staffing & Outsourcing Services"
"comp_10176","Consumer Defensive","Household & Personal Products"
"comp_9549","Technology","Electronic Gaming & Multimedia"
"comp_8833","Basic Materials","Gold"
"comp_10822","Technology","Software - Application"
"comp_4770","Healthcare","Long-Term Care Facilities"
"comp_5083","Consumer Defensive","Discount Stores"
"comp_13290","Healthcare","Drug Manufacturers - Major"
"comp_2730","Financial Services","Banks - Regional - US"
"comp_4159","Financial Services","Banks - Regional - US"
"comp_11711","Financial Services","Banks - Regional - US"
"comp_11908","Basic Materials","Paper & Paper Products"
"comp_2998","Industrials","Aerospace & Defense"
"comp_6216","Financial Services","Banks - Regional - US"
"comp_3896","Basic Materials","Building Materials"
"comp_6733","Financial Services","Insurance - Life"
"comp_7457","Technology","Software - Application"
"comp_2881","Financial Services","Asset Management"
"comp_12899","Financial Services","Asset Management"
"comp_10205","Consumer Cyclical","Specialty Retail"
"comp_2706","Healthcare","Medical Instruments & Supplies"
"comp_6385","Basic Materials","Industrial Metals & Minerals"
"comp_9706","Basic Materials","Industrial Metals & Minerals"
"comp_12368","Consumer Cyclical","Leisure"
"comp_6537","Industrials","Conglomerates"
"comp_13292","Consumer Cyclical","Packaging & Containers"
"comp_11178","Utilities","Utilities - Regulated Electric"
"comp_11750","Consumer Cyclical","Media - Diversified"
