"sec_id","comp_id"
"sec_3526","comp_2534"
"sec_3399","comp_1092"
"sec_1267","comp_1092"
"sec_19875","comp_13240"
"sec_18955","comp_12684"
"sec_18922","comp_12665"
"sec_15427","comp_10436"
"sec_14143","comp_9592"
"sec_10419","comp_7070"
"sec_10397","comp_7070"
"sec_10197","comp_6943"
"sec_18960","comp_12688"
"sec_18959","comp_12688"
"sec_17948","comp_12048"
"sec_17147","comp_11520"
"sec_16064","comp_10824"
"sec_18485","comp_12346"
"sec_18429","comp_12346"
"sec_6465","comp_4368"
"sec_6564","comp_4434"
"sec_6563","comp_4434"
"sec_12578","comp_8567"
"sec_16574","comp_11136"
"sec_8377","comp_5700"
"sec_18158","comp_12164"
"sec_18148","comp_12164"
"sec_18230","comp_12218"
"sec_18949","comp_4697"
"sec_6919","comp_4697"
"sec_9908","comp_6742"
"sec_9907","comp_6742"
"sec_18796","comp_12587"
"sec_15145","comp_10265"
"sec_1903","comp_1519"
"sec_20066","comp_1519"
"sec_2591","comp_1954"
"sec_2594","comp_1954"
"sec_2861","comp_1954"
"sec_12579","comp_8568"
"sec_15550","comp_10509"
"sec_15551","comp_10509"
"sec_12645","comp_8267"
"sec_12598","comp_8267"
"sec_12155","comp_8267"
"sec_16551","comp_11120"
"sec_624","comp_536"
"sec_2619","comp_536"
"sec_9303","comp_536"
"sec_18798","comp_12588"
"sec_18797","comp_12588"
"sec_17500","comp_11755"
"sec_14088","comp_9561"
"sec_12441","comp_8462"
"sec_15021","comp_10176"
"sec_14063","comp_9549"
"sec_12932","comp_8833"
"sec_16062","comp_10822"
"sec_7022","comp_4770"
"sec_7456","comp_5083"
"sec_19982","comp_13290"
"sec_3879","comp_2730"
"sec_6191","comp_4159"
"sec_17433","comp_11711"
"sec_17743","comp_11908"
"sec_5427","comp_2998"
"sec_4303","comp_2998"
"sec_4307","comp_2998"
"sec_4587","comp_2998"
"sec_4305","comp_2998"
"sec_4308","comp_2998"
"sec_5426","comp_2998"
"sec_4586","comp_2998"
"sec_9116","comp_6216"
"sec_5751","comp_3896"
"sec_9897","comp_6733"
"sec_9894","comp_6733"
"sec_18945","comp_7457"
"sec_10935","comp_7457"
"sec_13006","comp_7457"
"sec_16115","comp_7457"
"sec_10937","comp_7457"
"sec_9272","comp_2881"
"sec_9271","comp_2881"
"sec_4112","comp_2881"
"sec_19472","comp_12899"
"sec_19268","comp_12899"
"sec_15061","comp_10205"
"sec_15057","comp_10205"
"sec_3833","comp_2706"
"sec_12816","comp_2706"
"sec_9457","comp_6385"
"sec_9370","comp_6385"
"sec_14330","comp_9706"
"sec_18459","comp_12368"
"sec_9591","comp_6537"
"sec_19984","comp_13292"
"sec_16642","comp_11178"
"sec_17495","comp_11750"
"sec_5153","comp_3540"
"sec_5467","comp_3540"
"sec_6614","comp_3540"
"sec_5984","comp_3540"
"sec_1976","comp_1571"
"sec_5301","comp_3641"
"sec_4935","comp_3405"
"sec_19498","comp_13030"
"sec_16247","comp_10939"
"sec_19298","comp_4372"
"sec_6469","comp_4372"
"sec_18150","comp_12165"
"sec_16262","comp_10947"
"sec_17030","comp_11447"
"sec_15541","comp_8625"
"sec_12652","comp_8625"
"sec_16822","comp_11309"
"sec_18846","comp_10881"
"sec_16151","comp_10881"
"sec_18914","comp_10881"
"sec_18913","comp_10881"
"sec_18833","comp_10881"
"sec_18841","comp_10881"
"sec_16239","comp_10881"
"sec_16238","comp_10881"
"sec_12272","comp_8352"
"sec_13645","comp_9291"
"sec_17600","comp_11818"
"sec_15031","comp_10182"
"sec_14434","comp_9720"
"sec_14353","comp_9720"
"sec_6406","comp_4321"
"sec_8374","comp_5699"
"sec_5883","comp_3960"
"sec_9249","comp_6301"
"sec_20132","comp_13364"
"sec_13600","comp_9262"
"sec_13601","comp_9262"
"sec_13602","comp_9262"
"sec_13593","comp_9262"
"sec_16687","comp_11216"
"sec_6405","comp_4320"
"sec_2057","comp_1611"
"sec_2058","comp_1611"
"sec_2269","comp_1611"
"sec_13558","comp_9238"
"sec_10537","comp_1259"
"sec_1520","comp_1259"
"sec_4378","comp_3048"
"sec_46","comp_41"
"sec_14594","comp_9882"
"sec_10465","comp_7120"
"sec_20006","comp_549"
"sec_6012","comp_549"
"sec_637","comp_549"
"sec_5886","comp_3453"
"sec_5014","comp_3453"
"sec_5011","comp_3453"
"sec_6041","comp_3233"
"sec_4688","comp_3233"
"sec_18430","comp_12347"
"sec_18535","comp_12347"
"sec_5466","comp_3731"
"sec_13130","comp_8974"
"sec_7695","comp_5243"
"sec_10010","comp_6813"
"sec_1666","comp_1359"
"sec_103","comp_93"
"sec_12173","comp_8280"
"sec_10349","comp_7040"
"sec_10198","comp_6944"
"sec_12228","comp_8318"
"sec_17213","comp_11561"
"sec_18121","comp_12154"
"sec_18122","comp_12154"
"sec_18123","comp_12154"
"sec_1689","comp_1374"
"sec_4490","comp_3120"
"sec_5287","comp_3120"
"sec_18843","comp_12612"
"sec_19942","comp_13271"
"sec_16136","comp_10871"
"sec_16741","comp_10871"
"sec_3747","comp_2663"
"sec_3779","comp_2663"
"sec_19922","comp_13265"
"sec_17739","comp_11905"
"sec_11997","comp_8158"
"sec_18416","comp_12340"
"sec_13061","comp_8932"
"sec_6227","comp_4178"
"sec_6226","comp_4178"
"sec_7070","comp_4809"
"sec_14454","comp_9790"
"sec_2115","comp_1640"
"sec_15369","comp_1640"
"sec_14029","comp_9528"
"sec_18561","comp_9528"
"sec_13755","comp_9361"
"sec_2382","comp_1798"
"sec_2379","comp_1798"
"sec_2380","comp_1798"
"sec_18000","comp_12081"
"sec_17999","comp_12081"
"sec_4335","comp_3013"
"sec_4336","comp_3013"
"sec_16828","comp_11312"
"sec_17292","comp_11617"
"sec_17833","comp_11962"
"sec_12363","comp_8405"
"sec_17748","comp_11909"
"sec_17994","comp_12076"
"sec_10458","comp_7117"
"sec_11060","comp_7548"
"sec_6844","comp_4641"
"sec_19592","comp_13078"
"sec_20463","comp_13512"
"sec_5318","comp_3654"
"sec_10488","comp_6859"
"sec_10076","comp_6859"
"sec_4076","comp_2857"
"sec_10040","comp_2857"
"sec_15604","comp_10531"
"sec_19531","comp_13049"
"sec_9904","comp_6739"
"sec_11558","comp_7878"
"sec_894","comp_773"
"sec_19907","comp_773"
"sec_19037","comp_773"
"sec_14217","comp_773"
"sec_5747","comp_773"
"sec_16999","comp_11430"
"sec_11684","comp_653"
"sec_754","comp_653"
"sec_8312","comp_653"
"sec_17365","comp_653"
"sec_8323","comp_653"
"sec_11683","comp_653"
"sec_17049","comp_653"
"sec_17239","comp_11582"
"sec_9085","comp_1682"
"sec_2177","comp_1682"
"sec_13452","comp_9169"
"sec_7151","comp_4868"
"sec_6053","comp_4041"
"sec_6412","comp_4041"
"sec_7877","comp_5351"
"sec_6641","comp_4488"
"sec_10940","comp_7461"
"sec_17294","comp_11619"
"sec_7147","comp_4865"
"sec_16219","comp_10920"
"sec_15482","comp_10470"
"sec_15150","comp_10268"
"sec_9161","comp_2654"
"sec_3730","comp_2654"
"sec_16839","comp_11320"
"sec_14829","comp_10036"
"sec_6241","comp_4190"
"sec_2446","comp_1848"
"sec_3117","comp_2281"
"sec_3788","comp_2687"
"sec_19468","comp_13009"
"sec_4399","comp_3064"
"sec_2634","comp_1988"
"sec_19563","comp_13064"
"sec_3178","comp_2132"
"sec_11773","comp_2132"
"sec_11435","comp_2132"
"sec_12064","comp_2132"
"sec_2850","comp_2132"
"sec_7543","comp_2132"
"sec_15153","comp_2132"
"sec_4802","comp_2132"
"sec_19779","comp_13183"
"sec_9531","comp_6487"
"sec_8958","comp_6122"
"sec_18251","comp_12039"
"sec_17936","comp_12039"
"sec_9403","comp_6407"
"sec_2690","comp_2033"
"sec_18590","comp_756"
"sec_876","comp_756"
"sec_14501","comp_9826"
"sec_13718","comp_9339"
"sec_2838","comp_2127"
"sec_16692","comp_2127"
"sec_386","comp_329"
"sec_10957","comp_329"
"sec_385","comp_328"
"sec_18350","comp_328"
"sec_17480","comp_328"
"sec_18480","comp_12384"
"sec_11670","comp_7850"
"sec_11527","comp_7850"
